name,areaType,id,country
Likouala (Perenco),FacilityArea,54880a192f16092e9efe5d6f,Congo
BRENT,FacilityArea,54880a192f16092e9efe5c36,UnitedKingdom
Clyde Alpha platform,FacilityArea,54880a192f16092e9efe5c69,UnitedKingdom
Stag field,FacilityArea,54880a192f16092e9efe5c70,Australia
ENSCO 82,FacilityArea,54880a192f16092e9efe5c88,UnitedStates
Cidade de Sao Mateus,FacilityArea,54880a192f16092e9efe5cb3,Brazil
HERCULES 153,FacilityArea,54880a192f16092e9efe5d0e,UnitedStates
HERCULES 200,FacilityArea,54880a192f16092e9efe5d13,UnitedStates
Jose Ignacio,FacilityArea,54880a192f16092e9efe5d48,Uruguay
Scott Platform - Scott field,FacilityArea,54880a192f16092e9efe5d47,UnitedKingdom
Valhall,FacilityArea,54880a192f16092e9efe5d82,Norway
Volve Oil Field,FacilityArea,54880a192f16092e9efe5e24,Norway
NAN HAI NO. 6,FacilityArea,54880a192f16092e9efe5dbc,Australia
DEVELOPMENT DRILLER III,FacilityArea,54880a192f16092e9efe5c45,UnitedStates
ENSCO 87,FacilityArea,54880a192f16092e9efe5c91,UnitedStates
Gornin field,FacilityArea,54880a192f16092e9efe5cd5,Thailand
HERCULES 212,FacilityArea,54880a192f16092e9efe5d1a,UnitedStates
India-R14,FacilityArea,54880a192f16092e9efe5d37,India
ODN II,FacilityArea,54880a192f16092e9efe5e2d,Brazil
Svend Platform,FacilityArea,54880a192f16092e9efe5dc4,Denmark
MBya Terminal,FacilityArea,54880a192f16092e9efe5da1,Gabon
Enang (ExxonMobil. NNPC),FacilityArea,54880a192f16092e9efe5c66,Nigeria
DOLPHIN 109,FacilityArea,54880a192f16092e9efe5c55,UnitedStates
SHENZI TLP field,FacilityArea,54880a192f16092e9efe5ce5,UnitedStates
Baltim East gas field,FacilityArea,54880a192f16092e9efe5ce8,Egypt
GSF PARAMESWARA,FacilityArea,54880a192f16092e9efe5cf6,Vietnam
Zaafarana Terminal,FacilityArea,54880a192f16092e9efe5cf8,Egypt
JACK BATES,FacilityArea,54880a192f16092e9efe5d44,Australia
Libondo (Total. Eni),FacilityArea,54880a192f16092e9efe5d6b,Congo
Loango (Eni. Total),FacilityArea,54880a192f16092e9efe5d70,Congo
SONGA ENCOURAGE,FacilityArea,54880a192f16092e9efe5c6b,Norway
ENSCO DS-3,FacilityArea,54880a192f16092e9efe5c49,UnitedStates
FPSO CIDADE DE ANCHIET,FacilityArea,54880a192f16092e9efe5cb0,Brazil
ETESCO TAKATSUGU,FacilityArea,54880a192f16092e9efe5ca3,Brazil
FSO CIDADE DE MACAE,FacilityArea,54880a192f16092e9efe5ccb,Brazil
HERCULES 120,FacilityArea,54880a192f16092e9efe5d0b,UnitedStates
Japan-R1,FacilityArea,54880a192f16092e9efe5d45,Japan
Muda,FacilityArea,54880a192f16092e9efe5dab,Thailand
N'Kossa (Total),FacilityArea,54880a192f16092e9efe5dc6,Congo
West Auriga,FacilityArea,54880a192f16092e9efe5ce9,UnitedStates
Gamba - Tchatamba,FacilityArea,54880a192f16092e9efe5cce,Gabon
Globetrotter drilling (Shell) (temp),FacilityArea,54880a192f16092e9efe5cd3,Benin
Kab (Pemex),FacilityArea,54880a192f16092e9efe5d4e,Mexico
KLB-2 (Kole Oil Terminal),FacilityArea,54880a192f16092e9efe5d5b,Cameroon
